Sexo;Edad;Periodo;Total
Total;Todas las edades;2074;54.588.194,555989
Total;Todas las edades;2073;54.572.174,746164
Total;Todas las edades;2072;54.562.643,062856
Total;Todas las edades;2071;54.559.822,359944
Total;Todas las edades;2070;54.563.560,694023
Total;Todas las edades;2069;54.573.502,163393
Total;Todas las edades;2068;54.589.169,434671
Total;Todas las edades;2067;54.610.029,300133
Total;Todas las edades;2066;54.635.371,761116
Total;Todas las edades;2065;54.664.563,790565
Total;Todas las edades;2064;54.696.807,082427
Total;Todas las edades;2063;54.731.022,670687
Total;Todas las edades;2062;54.766.948,291237
Total;Todas las edades;2061;54.803.566,193232
Total;Todas las edades;2060;54.839.724,219452
Total;Todas las edades;2059;54.874.043,937641
Total;Todas las edades;2058;54.905.146,721014
Total;Todas las edades;2057;54.931.606,215028
Total;Todas las edades;2056;54.951.979,07711
Total;Todas las edades;2055;54.965.070,492635
Total;Todas las edades;2054;54.969.675,360164
Total;Todas las edades;2053;54.964.800,11413
Total;Todas las edades;2052;54.949.479,459534
Total;Todas las edades;2051;54.922.923,972898
Total;Todas las edades;2050;54.884.720,667167
Total;Todas las edades;2049;54.834.632,321295
Total;Todas las edades;2048;54.772.439,749693
Total;Todas las edades;2047;54.698.022,842486
Total;Todas las edades;2046;54.611.884,718333
Total;Todas las edades;2045;54.514.657,984427
Total;Todas las edades;2044;54.406.914,925128
Total;Todas las edades;2043;54.289.581,263417
Total;Todas las edades;2042;54.164.023,119581
Total;Todas las edades;2041;54.031.401,317441
Total;Todas las edades;2040;53.892.708,631179
Total;Todas las edades;2039;53.747.904,894293
Total;Todas las edades;2038;53.597.525,129538
Total;Todas las edades;2037;53.442.607,602498
Total;Todas las edades;2036;53.281.138,523991
Total;Todas las edades;2035;53.109.717,711908
Total;Todas las edades;2034;52.923.576,384872
Total;Todas las edades;2033;52.716.064,315197
Total;Todas las edades;2032;52.478.912,999872
Total;Todas las edades;2031;52.202.438,723784
Total;Todas las edades;2030;51.876.063,854919
Total;Todas las edades;2029;51.489.372,571964
Total;Todas las edades;2028;51.033.947,885234
Total;Todas las edades;2027;50.506.066,277745
Total;Todas las edades;2026;49.910.256,365085
Total;Todas las edades;2025;49.265.049,133149
Total;Todas las edades;2024;48.610.458
Total;0 años;2074;405.912,619408
Total;0 años;2073;403.826,157148
Total;0 años;2072;401.473,424704
Total;0 años;2071;398.873,618287
Total;0 años;2070;396.058,756134
Total;0 años;2069;393.067,825981
Total;0 años;2068;389.942,5105
Total;0 años;2067;386.733,316025
Total;0 años;2066;383.495,379224
Total;0 años;2065;380.299,550014
Total;0 años;2064;377.229,966785
Total;0 años;2063;374.383,185678
Total;0 años;2062;371.865,362836
Total;0 años;2061;369.792,026091
Total;0 años;2060;368.285,753097
Total;0 años;2059;367.452,029374
Total;0 años;2058;367.345,040516
Total;0 años;2057;367.986,204912
Total;0 años;2056;369.381,718482
Total;0 años;2055;371.495,04074
Total;0 años;2054;374.261,773582
Total;0 años;2053;377.578,545672
Total;0 años;2052;381.302,496492
Total;0 años;2051;385.293,314821
Total;0 años;2050;389.409,001565
Total;0 años;2049;393.491,867832
Total;0 años;2048;397.375,94008
Total;0 años;2047;400.882,691311
Total;0 años;2046;403.875,030868
Total;0 años;2045;406.238,948236
Total;0 años;2044;407.846,857261
Total;0 años;2043;408.641,566543
Total;0 años;2042;408.613,87627
Total;0 años;2041;407.762,32553
Total;0 años;2040;406.158,974719
Total;0 años;2039;403.928,585671
Total;0 años;2038;399.294,530145
Total;0 años;2037;394.306,025051
Total;0 años;2036;389.126,125556
Total;0 años;2035;383.913,180849
Total;0 años;2034;378.770,089163
Total;0 años;2033;373.697,10388
Total;0 años;2032;368.643,818959
Total;0 años;2031;363.524,233313
Total;0 años;2030;358.204,562397
Total;0 años;2029;352.557,847884
Total;0 años;2028;346.500,388819
Total;0 años;2027;340.035,492713
Total;0 años;2026;333.335,95581
Total;0 años;2025;326.808,003036
Total;0 años;2024;322.602
Total;1 año;2074;407.475,452718
Total;1 año;2073;405.136,662237
Total;1 año;2072;402.557,653793
Total;1 año;2071;399.766,568364
Total;1 año;2070;396.800,393957
Total;1 año;2069;393.700,025182
Total;1 año;2068;390.515,962106
Total;1 año;2067;387.303,475471
Total;1 año;2066;384.133,588605
Total;1 año;2065;381.090,2777
Total;1 año;2064;378.269,547302
Total;1 año;2063;375.776,387944
Total;1 año;2062;373.725,406554
Total;1 año;2061;372.237,807035
Total;1 año;2060;371.417,682792
Total;1 año;2059;371.318,525276
Total;1 año;2058;371.961,292253
Total;1 año;2057;373.352,158373
Total;1 año;2056;375.455,07378
Total;1 año;2055;378.206,467078
Total;1 año;2054;381.504,220025
Total;1 año;2053;385.206,848121
